Path,Row
112,28
112,27
113,29
113,28
113,27
113,26
114,31
114,30
114,29
114,28
114,27
114,26
115,33
115,32
115,31
115,30
115,29
115,28
115,27
115,26
116,33
116,32
116,31
116,30
116,29
116,28
116,27
116,26
117,45
117,44
117,43
117,42
117,41
117,40
117,39
117,33
117,32
117,31
117,30
117,29
117,28
117,27
117,26
117,25
118,45
118,44
118,43
118,42
118,41
118,40
118,39
118,38
118,37
118,35
118,34
118,33
118,32
118,31
118,30
118,29
118,28
118,27
118,26
118,25
119,45
119,44
119,43
119,42
119,41
119,40
119,39
119,38
119,37
119,36
119,35
119,34
119,33
119,32
119,31
119,30
119,29
119,28
119,27
119,26
119,25
120,45
120,44
120,43
120,42
120,41
120,40
120,39
120,38
120,37
120,36
120,35
120,34
120,33
120,32
120,31
120,30
120,29
120,28
120,27
120,26
120,25
121,45
121,44
121,43
121,42
121,41
121,40
121,39
121,38
121,37
121,36
121,35
121,34
121,33
121,32
121,31
121,30
121,29
121,28
121,27
121,26
121,25
122,45
122,44
122,43
122,42
122,41
122,40
122,39
122,38
122,37
122,36
122,35
122,34
122,33
122,32
122,31
122,30
122,29
122,28
122,27
122,26
122,25
123,46
123,45
123,44
123,43
123,42
123,41
123,40
123,39
123,38
123,37
123,36
123,35
123,34
123,33
123,32
123,31
123,30
123,29
123,28
123,27
123,26
123,25
124,46
124,45
124,44
124,43
124,42
124,41
124,40
124,39
124,38
124,37
124,36
124,35
124,34
124,33
124,32
124,31
124,30
124,29
124,28
124,27
124,26
124,25
125,45
125,44
125,43
125,42
125,41
125,40
125,39
125,38
125,37
125,36
125,35
125,34
125,33
125,32
125,31
125,30
125,29
125,28
125,27
126,45
126,44
126,43
126,42
126,41
126,40
126,39
126,38
126,37
126,36
126,35
126,34
126,33
126,32
126,31
126,30
126,29
126,28
127,45
127,44
127,43
127,42
127,41
127,40
127,39
127,38
127,37
127,36
127,35
127,34
127,33
127,32
127,31
127,30
127,29
128,45
128,44
128,43
128,42
128,41
128,40
128,39
128,38
128,37
128,36
128,35
128,34
128,33
128,32
128,31
128,30
128,29
129,45
129,44
129,43
129,42
129,41
129,40
129,39
129,38
129,37
129,36
129,35
129,34
129,33
129,32
129,31
129,30
130,45
130,44
130,43
130,42
130,41
130,40
130,39
130,38
130,37
130,36
130,35
130,34
130,33
130,32
130,31
131,45
131,44
131,43
131,42
131,41
131,40
131,39
131,38
131,37
131,36
131,35
131,34
131,33
131,32
131,31
132,44
132,43
132,42
132,41
132,40
132,39
132,38
132,37
132,36
132,35
132,34
132,33
132,32
132,31
133,43
133,42
133,41
133,40
133,39
133,38
133,37
133,36
133,35
133,34
133,33
133,32
133,31
134,41
134,40
134,39
134,38
134,37
134,36
134,35
134,34
134,33
134,32
134,31
134,30
135,40
135,39
135,38
135,37
135,36
135,35
135,34
135,33
135,32
135,31
135,30
136,41
136,40
136,39
136,38
136,37
136,36
136,35
136,34
136,33
136,32
136,31
136,30
137,41
137,40
137,39
137,38
137,37
137,36
137,35
137,34
137,33
137,32
137,31
137,30
137,29
138,41
138,40
138,39
138,38
138,37
138,36
138,35
138,34
138,33
138,32
138,31
138,30
138,29
139,41
139,40
139,39
139,38
139,37
139,36
139,35
139,34
139,33
139,32
139,31
139,30
139,29
139,28
140,41
140,40
140,39
140,38
140,37
140,36
140,35
140,34
140,33
140,32
140,31
140,30
140,29
140,28
141,41
141,40
141,39
141,38
141,37
141,36
141,35
141,34
141,33
141,32
141,31
141,30
141,29
141,28
141,27
142,40
142,39
142,38
142,37
142,36
142,35
142,34
142,33
142,32
142,31
142,30
142,29
142,28
142,27
143,40
143,39
143,38
143,37
143,36
143,35
143,34
143,33
143,32
143,31
143,30
143,29
143,28
143,27
143,26
144,40
144,39
144,38
144,37
144,36
144,35
144,34
144,33
144,32
144,31
144,30
144,29
144,28
144,27
144,26
145,39
145,38
145,37
145,36
145,35
145,34
145,33
145,32
145,31
145,30
145,29
145,28
145,27
145,26
146,38
146,37
146,36
146,35
146,34
146,33
146,32
146,31
146,30
146,29
146,28
146,27
146,26
147,37
147,36
147,35
147,34
147,33
147,32
147,31
147,30
147,29
147,28
148,36
148,35
148,34
148,33
148,32
148,31
148,30
148,29
148,28
149,35
149,34
149,33
149,32
149,31
150,34
150,33
150,32
150,31
151,33
151,32
